driver_name,GW_MicroServo_001,,,,,,
vendor_id,0x00000616,,,,,,
product_code,0x00001420,,,,,,
revision_num,0x00000100,,,,,,
sto1_code,0,,,,,,
sto2_code,0,,,,,,
driver_break_code,0,,,,,,
SDO1,P2.00,Speed gain,0x2200,1,2147483647,0,FALSE
errorcode,2606,errormsg,CANopen故障-PDO映射长度错误,solution,,,
errorcode,2607,errormsg,CANopen故障-PDO映射数据不存在,solution,,,
errorcode,2608,errormsg,CANopen故障-PDO不允许在操作态修改,solution,,,
errorcode,2609,errormsg,CANopen故障-PDO不允许映射,solution,,,
errorcode,2610,errormsg,CANopen故障-同步信号过快,solution,,,
errorcode,2611,errormsg,CANopen故障-接收故障,solution,,,
errorcode,2612,errormsg,CANopen故障-发送故障,solution,,,
errorcode,2613,errormsg,CANopen故障-同步信号重复,solution,,,
errorcode,2614,errormsg,CANopen故障-总线负载率过高,solution,,,
errorcode,2615,errormsg,CANopen故障-参数修改状态错误,solution,,,
